Landscape,Chrono,Chronosecuence,Plot,Species,abun,ab
Mountain,Old Forest,OF,RM9,Chrysophyllum prieurii,1,34.34173772
Mountain,Old Forest,OF,RM9,Chrysophyllum sp.,2,0.464363234
Mountain,Intermediate Forest,IF,DM8,Chrysophyllum sp. 1,1,46.6327804
Hill,Old Forest,OF,RL2,Chrysophyllum sp. 1,1,3.56E-07
Mountain,Old Forest,OF,RM11,Chrysophyllum sp. 1,12,554.3828663
Mountain,Old Forest,OF,RM13,Chrysophyllum sp. 1,2,1946.989051
Mountain,Old Forest,OF,RM14,Chrysophyllum sp. 1,2,1332.370027
Mountain,Old Forest,OF,RM14,Chrysophyllum sp. 1,1,22.09936548
Mountain,Old Forest,OF,RM14,Chrysophyllum sp. 1,1,4877.451198
Mountain,Intermediate Forest,IF,DM7,Ciliosemina pedunculata,1,28.55678175
Mountain,Old Forest,OF,RM13,Citharexylum poeppigii,1,18230.023
Mountain,Intermediate Forest,IF,DM14,Citronella incarum,4,0.266414356
Mountain,Intermediate Forest,IF,DM17,Citronella incarum,1,0.016749396
Mountain,Old Forest,OF,RM11,Citronella incarum,1,20.43225974
Mountain,Intermediate Forest,IF,DM17,Clarisia biflora,3,2.117265735
Mountain,Intermediate Forest,IF,DM14,Clarisia racemosa,1,338.1794773
Hill,Old Forest,OF,RL3,Clarisia racemosa,2,0.012814979
Mountain,Old Forest,OF,RM9,Clarisia racemosa,1,4926.780274
Mountain,Old Forest,OF,RM9,Clathrotropis macrocarpa,2,0.752337998
Hill,Old Forest,OF,RL4,Clathrotropis nitida,1,28.55668527
Mountain,Intermediate Forest,IF,DM7,Clavija procera,1,0.024010286
Hill,Old Forest,OF,RL4,Clavija procera,1,0.492120512
Mountain,Intermediate Forest,IF,DM14,Clavija weberbaueri,3,0.054902798
Mountain,Old Forest,OF,RM14,Clavija weberbaueri,1,0.016399348
Mountain,Early Forest,EF,DM2,Clidemia,1,0.172153799
Hill,Early Forest,EF,DL6,Clidemia hirta,7,0.027810229
Mountain,Intermediate Forest,IF,DM7,Clidemia minutiflora,2,0.094676188
Mountain,Old Forest,OF,RM8,Clidemia sessiliflora,1,0.138874624
Hill,Degraded Pasture,DP,DL10,Clitoria javitensis,7,4.11011817
Hill,Intermediate Forest,IF,DL13,Clitoria javitensis,4,0.446317687
Mountain,Intermediate Forest,IF,DM8,Clusia haughtii,11,2.324586531
Mountain,Intermediate Forest,IF,DM12,Clusia lineata,14,36.20194643
Mountain,Intermediate Forest,IF,DM8,Clusia lineata,5,136.0249114
Mountain,Intermediate Forest,IF,DM7,Clusia lopezii,1,1412.918978
Hill,Early Forest,EF,DL2,Coccoloba excelsa,4,0.84657029
Mountain,Old Forest,OF,RM9,Coccoloba sp. 2,1,662.3675929
Mountain,Intermediate Forest,IF,DM14,Coccoloba sp. 3,5,0.144941643
Mountain,Intermediate Forest,IF,DM7,Compsoneura capitellata,11,1008.638308
Hill,Old Forest,OF,RL2,Compsoneura capitellata,15,3.41E-05
Hill,Old Forest,OF,RL3,Compsoneura capitellata,6,321.3311316
Hill,Old Forest,OF,RL4,Compsoneura capitellata,4,68.40395555
Mountain,Old Forest,OF,RM13,Compsoneura capitellata,3,4213.563617
Mountain,Old Forest,OF,RM14,Compsoneura capitellata,4,1288.041926
Mountain,Old Forest,OF,RM3,Compsoneura capitellata,2,32.62744342
Mountain,Old Forest,OF,RM9,Compsoneura capitellata,10,3456.662467
Mountain,Old Forest,OF,RM9,Compsoneura sprucei,1,46.42133718
Hill,Intermediate Forest,IF,DL14,Compsoneura ulei,2,1089.312616
Mountain,Old Forest,OF,RM13,Compsoneura ulei,2,436.5884096
Hill,Intermediate Forest,IF,DL14,Conceveiba guianensis,1,51.07940026
Mountain,Degraded Pasture,DP,DM11,Conceveiba guianensis,1,0.065144218
Mountain,Intermediate Forest,IF,DM7,Conceveiba guianensis,1,116.2029631
Hill,Old Forest,OF,RL3,Conceveiba guianensis,4,346.7478286
Mountain,Old Forest,OF,RM13,Conceveiba guianensis,1,75.429816
Hill,Old Forest,OF,RL2,Conceveiba terminalis,2,3.62E-06
Hill,Old Forest,OF,RL3,Conceveiba terminalis,1,39.86176144
Mountain,Old Forest,OF,RM14,Conceveiba terminalis,2,957.1961187
Mountain,Old Forest,OF,RM9,Conceveiba terminalis,3,320.9765969
Mountain,Intermediate Forest,IF,DM13,Conostegia centronioides,2,0.038958982
Mountain,Intermediate Forest,IF,DM17,Conostegia centronioides,8,2.251910282
Hill,Early Forest,EF,DL12,Cordia exaltata,2,135.2255287
Hill,Intermediate Forest,IF,DL16,Cordia exaltata,2,89.38051912
Mountain,Intermediate Forest,IF,DM8,Cordia fallax,2,364.4786296
Hill,Early Forest,EF,DL12,Cordia nodosa,3,0.568903116
Hill,Intermediate Forest,IF,DL13,Cordia nodosa,3,0.717586011
Hill,Intermediate Forest,IF,DL14,Cordia nodosa,1,0.329792602
Hill,Intermediate Forest,IF,DL16,Cordia nodosa,2,0.044283994
Hill,Early Forest,EF,DL2,Cordia nodosa,1,0.502656
Mountain,Intermediate Forest,IF,DM13,Cordia nodosa,1,0.409416454
Mountain,Intermediate Forest,IF,DM14,Cordia nodosa,5,0.744531318
Mountain,Intermediate Forest,IF,DM8,Cordia nodosa,3,0.28551112
Mountain,Old Forest,OF,RM14,Cordia nodosa,2,2.839318586
Hill,Intermediate Forest,IF,DL14,Couepia bracteosa,1,1676.969794
Mountain,Old Forest,OF,RM3,Couepia bracteosa,1,0.065144218
Mountain,Intermediate Forest,IF,DM7,Couepia guianensis,2,351.544231
Mountain,Old Forest,OF,RM13,Couepia macrophylla,2,195.4393731
Hill,Intermediate Forest,IF,DL14,Couepia obovata,2,2.220577521
Hill,Intermediate Forest,IF,DL13,Couma macrocarpa,2,236.5453585
Hill,Early Forest,EF,DL2,Couma macrocarpa,1,0.00287476
Mountain,Intermediate Forest,IF,DM14,Couma macrocarpa,1,1712.033604
Mountain,Degraded Pasture,DP,DM15,Couma macrocarpa,1,0.021733529
Mountain,Intermediate Forest,IF,DM7,Couma macrocarpa,1,261.2389224
Hill,Old Forest,OF,RL4,Couma macrocarpa,1,24.19598964
Mountain,Old Forest,OF,RM11,Couma macrocarpa,3,11423.08461
Mountain,Old Forest,OF,RM9,Couma macrocarpa,2,2624.000084
Mountain,Intermediate Forest,IF,DM14,Coussapoa orthoneura,1,11634.67202
Mountain,Old Forest,OF,RM13,Coussarea brevicaulis,1,99.4021875
Mountain,Old Forest,OF,RM13,Coussarea sp. 1,1,381.8634435
Hill,Intermediate Forest,IF,DL14,Cremastosperma cauliflorum,2,0.623343706
Hill,Old Forest,OF,RL3,Cremastosperma cauliflorum,1,0.016399348
Hill,Old Forest,OF,RL4,Cremastosperma cauliflorum,1,0.842899051
Mountain,Old Forest,OF,RM14,Cremastosperma cauliflorum,1,0.262389574
Mountain,Old Forest,OF,RM3,Cremastosperma cauliflorum,5,0.061214861
Mountain,Old Forest,OF,RM13,Cremastosperma gracilipes,3,1.938024962
Mountain,Old Forest,OF,RM13,Crepidospermum goudotianum,2,57.12183098
Mountain,Old Forest,OF,RM9,Crepidospermum goudotianum,1,63.30676173
Hill,Intermediate Forest,IF,DL14,Crepidospermum rhoifolium,4,17.87288009
Hill,Old Forest,OF,RL3,Crepidospermum rhoifolium,1,438.6460567
Mountain,Old Forest,OF,RM13,Crepidospermum rhoifolium,2,516.760138
Mountain,Old Forest,OF,RM14,Crepidospermum rhoifolium,3,272.4525431
Mountain,Old Forest,OF,RM3,Crepidospermum rhoifolium,1,8.042496
Mountain,Old Forest,OF,RM9,Crepidospermum rhoifolium,3,661.0566095
Mountain,Old Forest,OF,RM11,Croton amazonicus,3,215.7327232
Mountain,Old Forest,OF,RM9,Croton amazonicus,2,33.89867139
Mountain,Early Forest,EF,DM2,Croton lechleri,4,1413.851605
Hill,Intermediate Forest,IF,DL5,Croton matourensis,2,2125.796833
Mountain,Intermediate Forest,IF,DM13,Croton matourensis,4,29736.96039
Mountain,Early Forest,EF,DM1,Croton sp. 1,2,783.2566204
Mountain,Early Forest,EF,DM2,Croton sp. 2,1,48.08427626
Mountain,Old Forest,OF,RM13,Croton tessmanni,5,62.27296858
Hill,Intermediate Forest,IF,DL7,Cupania cinerea,1,252.6383509
Hill,Intermediate Forest,IF,DL16,Cupania latifolia,1,0.232855588
Hill,Early Forest,EF,DL2,Cupania latifolia,35,171.2618745
Hill,Intermediate Forest,IF,DL3,Cupania latifolia,5,249.5194792
Hill,Intermediate Forest,IF,DL7,Cupania latifolia,4,318.1137084
Mountain,Intermediate Forest,IF,DM7,Cupania latifolia,24,1005.131688
Hill,Old Forest,OF,RL3,Cupania latifolia,1,0.232855588
Hill,Old Forest,OF,RL4,Cupania latifolia,1,121.9995197
Mountain,Old Forest,OF,RM9,Cupania latifolia,1,0.016399348
Hill,Degraded Pasture,DP,DL11,Cupania scrobiculata,6,266.6635543
Hill,Early Forest,EF,DL12,Cupania scrobiculata,7,306.0098887
Hill,Intermediate Forest,IF,DL13,Cupania scrobiculata,2,67.50447046
Mountain,Early Forest,EF,DM10,Cupania scrobiculata,5,1.030859884
Mountain,Early Forest,EF,DM16,Cupania scrobiculata,3,52.53782083
Hill,Early Forest,EF,DL12,Cyathea lasiosora,1,0.1590435
Mountain,Intermediate Forest,IF,DM8,Cyathea lasiosora,45,3315.514841
Mountain,Old Forest,OF,RM8,Cyathea lasiosora,4,2.532682718
Mountain,Old Forest,OF,RM9,Cyathea lasiosora,4,0.134422977
Mountain,Intermediate Forest,IF,DM14,Cybianthus amplus,1,0.012867994
Mountain,Old Forest,OF,RM11,Cybianthus amplus,1,0.329792602
Mountain,Intermediate Forest,IF,DM7,Cybianthus longifolius,2,0.009839999
Mountain,Degraded Pasture,DP,DM11,Cybianthus minutiflorus,1,0.031416
Mountain,Degraded Pasture,DP,DM15,Cybianthus minutiflorus,1,0.387048758
Mountain,Old Forest,OF,RM8,Cybianthus minutiflorus,3,3.042633317
Hill,Old Forest,OF,RL2,Dacryodes chimantensis,3,3.34E-05
Mountain,Old Forest,OF,RM11,Dacryodes chimantensis,2,123.4910529
Mountain,Old Forest,OF,RM11,Dacryodes cupularis,1,13.46469359
Mountain,Old Forest,OF,RM11,Dacryodes granatensis,1,122.3655745
Mountain,Old Forest,OF,RM8,Dacryodes granatensis,1,19.635
Hill,Old Forest,OF,RL3,Dacryodes hopkinsii,6,657.7031722
Hill,Old Forest,OF,RL4,Dacryodes negrensis,4,10988.22254
Hill,Old Forest,OF,RL3,Dacryodes olivifera,2,0.179655538
Mountain,Old Forest,OF,RM11,Dacryodes roraimensis,1,2686.181352
Mountain,Intermediate Forest,IF,DM7,Dalbergia,4,2699.84226
Mountain,Old Forest,OF,RM3,Dalbergia sp. 1,5,53871.18536
Hill,Degraded Pasture,DP,DL10,Davilla kunthii,2,0.115315766
Hill,Early Forest,EF,DL12,Dendrobangia boliviana,1,0.025588528
Hill,Intermediate Forest,IF,DL13,Dendrobangia boliviana,1,0.10434844
Mountain,Intermediate Forest,IF,DM12,Dendrobangia boliviana,1,0.007542982
Mountain,Intermediate Forest,IF,DM14,Dendrobangia boliviana,2,0.277749249
Mountain,Intermediate Forest,IF,DM7,Dendrobangia boliviana,1,0.002297017
Mountain,Intermediate Forest,IF,DM8,Dendrobangia boliviana,1,0.01162865
Mountain,Old Forest,OF,RM11,Dendrobangia boliviana,1,619.4757208
Mountain,Old Forest,OF,RM14,Dendrobangia boliviana,2,0.048126563
Mountain,Old Forest,OF,RM9,Dendrobangia boliviana,1,1.328347216
Mountain,Old Forest,OF,RM11,Dendrobangia sp. 1,1,110.4367936
Mountain,Intermediate Forest,IF,DM8,Dendrobangia sp.1,3,12.93457042
Mountain,Intermediate Forest,IF,DM14,Dendropanax arboreus,1,0.329792602
Mountain,Old Forest,OF,RM13,Dendropanax arboreus,1,128.679936
Mountain,Intermediate Forest,IF,DM13,Dendropanax macrophyllus,15,26.84439237
Mountain,Intermediate Forest,IF,DM14,Dendropanax macrophyllus,1,26.9366151
Hill,Early Forest,EF,DL12,Dialium guianense,1,0.409416454
Hill,Intermediate Forest,IF,DL13,Dialium guianense,1,0.879148486
Mountain,Intermediate Forest,IF,DM14,Dialium guianense,1,604.4414399
Hill,Old Forest,OF,RL2,Dialium guianense,1,0.000350497
Hill,Old Forest,OF,RL3,Dialium guianense,1,2961.97024
Mountain,Old Forest,OF,RM13,Dialium guianense,1,1241.730472
Mountain,Old Forest,OF,RM14,Dialium guianense,1,17967.25219
Mountain,Old Forest,OF,RM8,Dialium guianense,1,48230.47534
Mountain,Old Forest,OF,RM9,Dialium guianense,1,19172.4731
Mountain,Intermediate Forest,IF,DM8,Dichapetalum sp. 1,2,0.054206769
Hill,Intermediate Forest,IF,DL7,Dichapetalum spruceanum,7,0.294562445
Mountain,Intermediate Forest,IF,DM17,Dichapetalum spruceanum,1,0.030056337
Hill,Degraded Pasture,DP,DL10,Dioclea pulchra,3,0.252088464
Mountain,Old Forest,OF,RM13,Diospyros sericea,1,2.71863088
Mountain,Old Forest,OF,RM14,Diospyros sericea,1,0.205887898
Mountain,Early Forest,EF,DM1,Diplotropis martiusii,1,39.01828795
Mountain,Intermediate Forest,IF,DM17,Diplotropis martiusii,2,105.1988764
Hill,Old Forest,OF,RL3,Diplotropis martiusii,1,0.181333348
Hill,Old Forest,OF,RL4,Diplotropis martiusii,1,0.669524523
Mountain,Old Forest,OF,RM11,Diplotropis peruviana,1,7226.489028
Mountain,Old Forest,OF,RM9,Diplotropis peruviana,1,61.43805657
Hill,Old Forest,OF,RL4,Diplotropis purpurea,1,56.95958832
Mountain,Intermediate Forest,IF,DM12,Diplotropis sp. 3,1,0.005607952
Mountain,Intermediate Forest,IF,DM13,Dipteryx sp. 1,6,369.3144822
Mountain,Old Forest,OF,RM8,Discophora sp.,1,0.089727238
Mountain,Old Forest,OF,RM9,Discophora sp.,1,145.5347427
Hill,Intermediate Forest,IF,DL14,Dolichodelphys chlorocrater,9,2.102890239
Mountain,Intermediate Forest,IF,DM14,Dolichodelphys chlorocrater,6,27.24253508
Hill,Old Forest,OF,RL3,Dolichodelphys chlorocrater,1,0.007542982
Mountain,Old Forest,OF,RM13,Dolichodelphys chlorocrater,1,0.005607952
Mountain,Old Forest,OF,RM14,Dolichodelphys chlorocrater,26,71.36155356
Mountain,Old Forest,OF,RM9,Dolichodelphys chlorocrater,10,3.934097856
Mountain,Intermediate Forest,IF,DM13,Drypetes variabilis,18,656.5344576
Mountain,Intermediate Forest,IF,DM17,Drypetes variabilis,1,0.682592414
Mountain,Old Forest,OF,RM13,Drypetes variabilis,1,73.2976594
Hill,Intermediate Forest,IF,DL14,Duguetia flagellaris,1,0.004071514
Mountain,Old Forest,OF,RM14,Duguetia flagellaris,1,0.016399348
Hill,Intermediate Forest,IF,DL14,Duguetia odorata,1,0.0019635
Mountain,Old Forest,OF,RM13,Duguetia quitarensis,1,485.5683351
Mountain,Old Forest,OF,RM9,Duguetia quitarensis,1,4449.977427
Mountain,Old Forest,OF,RM9,Duguetia sp. 1,2,0.271060586
Hill,Intermediate Forest,IF,DL3,Dulacia inopiflora,2,0.832448602
Hill,Early Forest,EF,DL12,Duroia hirsuta,1,0.089727238
Hill,Early Forest,EF,DL2,Duroia hirsuta,4,1.394028648
Mountain,Intermediate Forest,IF,DM12,Duroia hirsuta,1,0.004071514
Mountain,Old Forest,OF,RM3,Duroia hirsuta,1,0.181333348
Mountain,Old Forest,OF,RM3,Duroia paruensis,1,0.045996166
Hill,Intermediate Forest,IF,DL14,Ecclinusa lancifolia,1,1.2271875
Mountain,Old Forest,OF,RM9,Elaeoluma sp.,1,2623.895736
Hill,Old Forest,OF,RL2,Endlicheria anomala,1,6.92E-07
Hill,Old Forest,OF,RL4,Endlicheria anomala,1,155.479765
Mountain,Intermediate Forest,IF,DM13,Endlicheria bracteata,1,0.329792602
Mountain,Intermediate Forest,IF,DM14,Endlicheria bracteata,1,37.77758999
Mountain,Intermediate Forest,IF,DM8,Endlicheria bracteata,5,1.606192065
Hill,Intermediate Forest,IF,DL14,Endlicheria chalisea,2,0.022575538
Hill,Intermediate Forest,IF,DL16,Endlicheria chalisea,4,17.35035611
Mountain,Early Forest,EF,DM10,Endlicheria chalisea,1,5.276681626
Hill,Old Forest,OF,RL3,Endlicheria chalisea,1,0.007542982
Hill,Intermediate Forest,IF,DL3,Endlicheria directonervia,1,279.0941637
Hill,Intermediate Forest,IF,DL5,Endlicheria directonervia,2,3392.128075
Mountain,Intermediate Forest,IF,DM13,Endlicheria directonervia,1,75.55062449
Hill,Old Forest,OF,RL3,Endlicheria directonervia,2,494.6116258
Hill,Old Forest,OF,RL4,Endlicheria directonervia,3,869.4405205
Mountain,Old Forest,OF,RM13,Endlicheria directonervia,3,2864.027407
Mountain,Old Forest,OF,RM11,Endlicheria dysodantha,2,0.656977675
Hill,Intermediate Forest,IF,DL14,Endlicheria formosa,1,0.05494678
Hill,Old Forest,OF,RL3,Endlicheria formosa,1,30.94582525
Mountain,Old Forest,OF,RM3,Endlicheria formosa,1,313.5204888
Mountain,Old Forest,OF,RM11,Endlicheria gracilis,1,0.009940219
Mountain,Early Forest,EF,DM10,Endlicheria krukovii,2,6.222576938
Hill,Old Forest,OF,RL3,Endlicheria krukovii,1,24.19598964
Hill,Old Forest,OF,RL2,Endlicheria metallica,1,6.33E-07
Hill,Intermediate Forest,IF,DL13,Endlicheria robusta,2,446.8122284
Hill,Intermediate Forest,IF,DL14,Endlicheria robusta,5,49.88418168
Hill,Early Forest,EF,DL2,Endlicheria robusta,5,0.583621708
Hill,Intermediate Forest,IF,DL3,Endlicheria robusta,1,33.85644996
Mountain,Early Forest,EF,DM10,Endlicheria robusta,4,0.145396782
Mountain,Intermediate Forest,IF,DM14,Endlicheria robusta,10,114.3096964
Mountain,Degraded Pasture,DP,DM15,Endlicheria robusta,3,163.6904348
Hill,Old Forest,OF,RL3,Endlicheria robusta,2,0.996311709
Hill,Old Forest,OF,RL4,Endlicheria robusta,1,4.227528151
Mountain,Old Forest,OF,RM13,Endlicheria robusta,1,0.00287476
Mountain,Old Forest,OF,RM9,Endlicheria robusta,5,40.26967361
Hill,Early Forest,EF,DL2,Endlicheria sericea,1,495.133204
Hill,Intermediate Forest,IF,DL5,Endlicheria sericea,6,4804.549347
Hill,Old Forest,OF,RL4,Endlicheria sericea,1,52.6423935
Hill,Old Forest,OF,RL2,Endlicheria sp. 2,3,3.68E-07
Hill,Old Forest,OF,RL2,Endlicheria sp. 3,2,1.36E-06
Mountain,Old Forest,OF,RM3,Endlicheria sp. 3,1,137.4393059
Mountain,Old Forest,OF,RM9,Endlicheria sp. 3,1,152.7203076
Mountain,Early Forest,EF,DM10,Endlicheria sp. 4,1,21.66987314
Mountain,Degraded Pasture,DP,DM11,Endlicheria sp. 4,2,0.18487079
Mountain,Intermediate Forest,IF,DM12,Endlicheria sp. 4,9,485.1603494
Mountain,Intermediate Forest,IF,DM13,Endlicheria sp. 4,9,461.4991041
Mountain,Degraded Pasture,DP,DM15,Endlicheria sp. 4,2,41.01619947
Mountain,Early Forest,EF,DM16,Endlicheria sp. 4,5,107.5749041
Mountain,Old Forest,OF,RM3,Endlicheria sp. 4,1,0.025588528
Mountain,Old Forest,OF,RM3,Endlicheria sp. 4,1,2.072670796
Hill,Early Forest,EF,DL12,Endlicheria sprucei,1,0.004071514
Hill,Intermediate Forest,IF,DL14,Endlicheria sprucei,2,0.019880438
Mountain,Intermediate Forest,IF,DM7,Endlicheria sprucei,1,0.007542982
Mountain,Old Forest,OF,RM11,Endlicheria sprucei,4,14.67470282
Mountain,Old Forest,OF,RM13,Endlicheria sprucei,1,0.016399348
Mountain,Old Forest,OF,RM14,Endlicheria sprucei,3,0.844358604
Mountain,Old Forest,OF,RM3,Endlicheria sprucei,2,0.029660042
Mountain,Old Forest,OF,RM9,Endlicheria sprucei,3,1.690045908
Mountain,Early Forest,EF,DM16,Enterolobium cyclocarpum,1,0.004321356
Mountain,Old Forest,OF,RM14,Ephedranthus amazonicus,1,953.7764899
Mountain,Intermediate Forest,IF,DM13,Eriotheca macrophylla,1,25.38671928
Hill,Old Forest,OF,RL3,Eriotheca macrophylla,1,0.005607952
Hill,Early Forest,EF,DL2,Erisma laurifolium,1,179.1438839
Mountain,Old Forest,OF,RM8,Erisma laurifolium,1,5.276681626
Mountain,Old Forest,OF,RM9,Erisma laurifolium,1,10.74050522
Mountain,Intermediate Forest,IF,DM13,Erisma uncinatum,1,9.318441328
Hill,Old Forest,OF,RL3,Erisma uncinatum,1,22.76679071
Mountain,Old Forest,OF,RM13,Erisma uncinatum,6,413.1486371
Mountain,Intermediate Forest,IF,DM8,Erythrina poeppigiana,5,1782.507307
Mountain,Early Forest,EF,DM2,Erythrina rubrinervia,1,26.93695807
Hill,Degraded Pasture,DP,DL11,Erythroxylum amazonicum,37,6.220286711
Hill,Intermediate Forest,IF,DL3,Erythroxylum amazonicum,2,0.067107718
Mountain,Degraded Pasture,DP,DM11,Erythroxylum amazonicum,1,0.00287476
Mountain,Intermediate Forest,IF,DM12,Erythroxylum amazonicum,2,0.965929295
Mountain,Old Forest,OF,RM13,Erythroxylum amazonicum,3,1616.074839
Mountain,Intermediate Forest,IF,DM12,Erythroxylum citrifolium,6,380.6552028
Mountain,Intermediate Forest,IF,DM13,Erythroxylum citrifolium,1,23.90468978
Mountain,Old Forest,OF,RM13,Erythroxylum gracilipes,3,19.2954437
Mountain,Old Forest,OF,RM9,Erythroxylum gracilipes,1,33.16273274
Hill,Intermediate Forest,IF,DL16,Erythroxylum macrophyllum,8,206.9981912
Hill,Old Forest,OF,RL3,Erythroxylum macrophyllum,1,637.7881831
Hill,Old Forest,OF,RL4,Erythroxylum macrophyllum,1,58.64508518
Mountain,Old Forest,OF,RM8,Erythroxylum macrophyllum,1,0.00287476
Mountain,Intermediate Forest,IF,DM12,Erythroxylum sp. 1,1,24.78619238
Mountain,Intermediate Forest,IF,DM13,Erythroxylum sp. 1,7,1913.560775
Mountain,Degraded Pasture,DP,DM15,Erythroxylum sp. 1,5,0.073335472
Mountain,Degraded Pasture,DP,DM15,Erythroxylum sp. 2,1,0.007827076
Hill,Intermediate Forest,IF,DL3,Eschweilera albiflora,10,1.590178763
Hill,Early Forest,EF,DL12,Eschweilera andina,3,14.00804922
Hill,Intermediate Forest,IF,DL14,Eschweilera andina,2,2.22395749
Hill,Intermediate Forest,IF,DL3,Eschweilera andina,10,2.169571485
Mountain,Intermediate Forest,IF,DM14,Eschweilera andina,1,212.7780259
Hill,Old Forest,OF,RL2,Eschweilera andina,1,3.20E-07
Hill,Old Forest,OF,RL4,Eschweilera andina,1,7.144810592
Hill,Intermediate Forest,IF,DL14,Eschweilera coriacea,1,171.8480835
Hill,Early Forest,EF,DL2,Eschweilera coriacea,9,68.43453375
Hill,Intermediate Forest,IF,DL3,Eschweilera coriacea,6,145.9465828
Hill,Intermediate Forest,IF,DL5,Eschweilera coriacea,10,369.4921798
Mountain,Intermediate Forest,IF,DM14,Eschweilera coriacea,3,261.9995749
Mountain,Degraded Pasture,DP,DM15,Eschweilera coriacea,1,3.498503983
Mountain,Intermediate Forest,IF,DM7,Eschweilera coriacea,7,35.06258555
Hill,Old Forest,OF,RL2,Eschweilera coriacea,1,2.06E-06
Hill,Old Forest,OF,RL3,Eschweilera coriacea,7,255.5597688
Hill,Old Forest,OF,RL4,Eschweilera coriacea,4,698.7446821
Mountain,Old Forest,OF,RM13,Eschweilera coriacea,3,13597.61654
Mountain,Old Forest,OF,RM14,Eschweilera coriacea,7,2861.24738
Mountain,Old Forest,OF,RM3,Eschweilera coriacea,5,182.6693861
Mountain,Old Forest,OF,RM9,Eschweilera laevicarpa,1,0.012867994
Mountain,Old Forest,OF,RM9,Eschweilera laevicarpa,2,1542.396421
Hill,Old Forest,OF,RL2,Eschweilera parvifolia,2,1.98E-06
Hill,Old Forest,OF,RL4,Eschweilera parvifolia,1,5064.473876
Mountain,Old Forest,OF,RM13,Eschweilera parvifolia,2,2527.600217
Hill,Intermediate Forest,IF,DL14,Eschweilera rufifolia,6,1126.527731
Mountain,Intermediate Forest,IF,DM14,Eschweilera rufifolia,4,1256.39291
Hill,Old Forest,OF,RL2,Eschweilera rufifolia,3,5.45E-06
Hill,Old Forest,OF,RL3,Eschweilera rufifolia,2,0.015742754
Mountain,Old Forest,OF,RM14,Eschweilera rufifolia,1,255.8852835
Mountain,Degraded Pasture,DP,DM11,Eugenia chrysophyllum,14,139.9813987
Mountain,Intermediate Forest,IF,DM13,Eugenia chrysophyllum,8,5.367383741
Mountain,Early Forest,EF,DM16,Eugenia chrysophyllum,1,29.56309221
Mountain,Old Forest,OF,RM11,Eugenia chrysophyllum,1,0.045996166
Mountain,Old Forest,OF,RM13,Eugenia chrysophyllum,3,19.0101175
Hill,Early Forest,EF,DL12,Eugenia coffeifolia,6,76.0698043
Hill,Intermediate Forest,IF,DL13,Eugenia coffeifolia,2,0.025735987
Hill,Intermediate Forest,IF,DL14,Eugenia coffeifolia,1,56.0795235
Hill,Intermediate Forest,IF,DL16,Eugenia coffeifolia,1,32.01436021
Hill,Early Forest,EF,DL2,Eugenia florida,6,0.875492252
Hill,Old Forest,OF,RL2,Eugenia florida,1,2.98E-07
Mountain,Old Forest,OF,RM3,Eugenia florida,1,3.294206362
Mountain,Intermediate Forest,IF,DM13,Eugenia kerianthera,4,0.145139171
Hill,Degraded Pasture,DP,DL10,Eugenia lambertiana,1,26.71320073
Hill,Intermediate Forest,IF,DL14,Eugenia lambertiana,1,0.076699219
Hill,Intermediate Forest,IF,DL16,Eugenia lambertiana,15,1.010792914
Hill,Intermediate Forest,IF,DL3,Eugenia lambertiana,1,21.13641503
Hill,Intermediate Forest,IF,DL7,Eugenia lambertiana,3,19.96868059
Mountain,Intermediate Forest,IF,DM12,Eugenia lambertiana,3,0.011642966
Mountain,Degraded Pasture,DP,DM15,Eugenia lambertiana,67,50.54049723
Mountain,Early Forest,EF,DM16,Eugenia lambertiana,1,2084.735852
Mountain,Old Forest,OF,RM13,Eugenia lambertiana,1,1313.696486
Mountain,Old Forest,OF,RM9,Eugenia lambertiana,1,0.005607952
Mountain,Intermediate Forest,IF,DM14,Eugenia sp. 2,1,30.24819959
Mountain,Old Forest,OF,RM9,Euplassa saxicola,1,1295.419248
Hill,Early Forest,EF,DL2,Euterpe precatoria,7,481.7293994
Hill,Intermediate Forest,IF,DL3,Euterpe precatoria,1,51.60257576
Hill,Intermediate Forest,IF,DL5,Euterpe precatoria,1,203.9613279
Mountain,Degraded Pasture,DP,DM11,Fabaceae sp. 11,1,0.045996166
Mountain,Intermediate Forest,IF,DM14,Faramea anisocalyx,3,0.348268548
Mountain,Old Forest,OF,RM14,Faramea anisocalyx,2,1.060481834
Mountain,Intermediate Forest,IF,DM7,Faramea capillipes,3,0.069755132
Hill,Old Forest,OF,RL2,Faramea capillipes,2,4.14E-10
Mountain,Old Forest,OF,RM11,Faramea capillipes,1,0.05494678
Mountain,Old Forest,OF,RM13,Faramea capillipes,3,1.702043678
Mountain,Old Forest,OF,RM3,Faramea capillipes,4,0.232686138
Mountain,Old Forest,OF,RM9,Faramea capillipes,1,0.016399348
Hill,Intermediate Forest,IF,DL14,Faramea capillipes ,5,0.393174971
Hill,Old Forest,OF,RL4,Faramea capillipes ,2,0.099790678
Hill,Early Forest,EF,DL2,Faramea glandulosa,2,0.008482713
Mountain,Intermediate Forest,IF,DM14,Faramea glandulosa,2,3.647932065
Mountain,Intermediate Forest,IF,DM8,Faramea glandulosa,1,0.034005689
Mountain,Old Forest,OF,RM13,Faramea glandulosa,1,0.005607952
Mountain,Old Forest,OF,RM9,Faramea glandulosa,1,0.020612038
